,query,title,source,excerpt,date
268,microchip,"Here's How Much a $1000 Investment in Microchip Technology Made 10 Years 
Ago Would Be Worth Today",Yahoo Finance,"What if you'd invested in Microchip Technology (MCHP) ten years ago? It may 
not have been easy to hold on to MCHP for all that time, ...",3 Jun 2021
269,microchip,Toyota Kembali Tutup Pabrik Karena Kelangkaan Microchip,Liputan6.com,"Liputan6.com, Jakarta - Kelangkaan microchip yang terus melanda industri 
otomotif, masih menjadi isu besar bagi produsen mobil.",3 days ago
270,microchip,Microchip expands space-qualified power converter family,Aerospace Manufacturing,"Microchip Technology has announced the expansion of its SA50-120 power 
converter family with nine new units based on its COTS technology.",23 Feb 2021
271,semiconductor,"Get Paid While You Wait: 3 Top Dividend Stocks in Semiconductor 
Manufacturing",The Motley Fool,"Semiconductors are crucial building blocks of next-gen technologies. The 
semiconductor index has nearly tripled the return of the S&P 500 over ...",1 month ago
272,semiconductor,Dingell proposes $2 billion in federal semiconductor spending,Detroit News,"Debbie Dingell, D-Dearborn. The bill comes amid an ongoing semiconductor 
shortage that has forced shutdowns at auto plants and threatens to cut ...",2 weeks ago
273,semiconductor,Intel vs. AMD: Which Semiconductor Stock Is a Better Pick?,Yahoo Finance,"Semiconductors are proving to be the engines that drive the electronics 
world of today, as they are being used in different applications.",2 weeks ago
274,semiconductor,July sales up but semiconductor shortage could chip away at ...,Autocar Professional,"A passenger vehicle typically uses around 1,000 semiconductors and any 
slowdown in the supply chain means manufacturing operations can come to 
a ...",20 hours ago
275,semiconductor,ON Semiconductor to Announce Second Quarter 2021 ...,Business Wire,"ON Semiconductor to Announce Second Quarter 2021 Financial Results. Company 
provides conference call details. July 16, 2021 09:00 AM Eastern ...",3 weeks ago
276,semiconductor,"How will car maker's evolve to combat semiconductor supply shortages? 
Opinion",AM-online,"The shortage of supply of semiconductors and microprocessors is having a 
profound impact on the global automotive sector – with the first ...",2 weeks ago
277,semiconductor,Acquisition of UK's largest chip plant demonstrates UKs ...,Electropages,"Recently, it was announced that Nexperia is in the process of acquiring the 
UK's largest semiconductor fabrication plant Newport Wafer Fab.",3 weeks ago
278,semiconductor,Intel is poised for earnings drop amid semiconductor shortage,Mint,"... in second-quarter earnings as Chief Executive Pat Gelsinger works to 
turn the chip giant around amid a global semiconductor shortage.",2 weeks ago
279,microchip,The EU's microchip dilemma: Too little or too late?,DW,"The European Union said in March it planned to more than double microchip 
manufacturing output in the 27-member bloc to 20% of the global ...",29 Apr 2021
280,microchip,Time to bet on microchips,Financial Times,"Time to bet on microchips. Semiconductor makers ripe for investment as they 
shift from cyclical mode to growth. Gerrit Smit. Add to myFT.",20 Apr 2021
281,microchip,Carmakers Need Microchips. Microchip Makers Need ...,Bloomberg.com,"Automakers have a shortage of chips. But the chipmakers have a shortage of 
the machines that make them. By. Anjani Trivedi.",7 Feb 2021
282,microchip,Microchip expands radiation-hardened Arm MCU family for ...,Aerospace Manufacturing,"Microchip Technology Inc. has announced the qualification of its SAMRH71 
Arm-based microprocessor (MPU) and the availability of the SAMRH707 ...",27 Apr 2021
283,microchip,Argonne's machine-learning work may help ease US ...,FedScoop,"While the global microchip shortage was one “inspiration” behind Argonne's 
work, it's a “longer-term” problem that using ML to optimize ALD ...",1 month ago
284,microchip,Microchip Technology to Present at the Nasdaq 44th Investor,GlobeNewswire,"CHANDLER, Ariz., June 14, 2021 (GLOBE NEWSWIRE) -- (NASDAQ:MCHP) – 
Microchip Technology Incorporated, a leading provider of smart, ...",14 Jun 2021
285,microchip,"Seattle used car prices skyrocket, some paying retail value",KIRO-TV,"SEATTLE — Global microchip shortages are being felt at the local level as 
car shoppers pay almost retail prices for used vehicles.",6 days ago
286,microchip,No Water No Microchips: What Is Happening In Taiwan?,Forbes,"... projections show that both typhoons and spring rainfall decrease with 
climate change, microchips are likely to become rarer and rarer.",31 May 2021
287,microchip,"IBM says new ultradense microchip might one day quadruple your cellphone’s 
battery life",The Washington Post,"Amid semiconductor shortage, the tech firm claims to have invented the 
world's smallest and most powerful microchip. Error: Try reloading.",12 May 2021
288,semiconductor,Daimler says semiconductor shortage to last into 2022,Reuters,"LONDON, July 21 (Reuters) - Mercedes-Benz maker Daimler AG said on 
Wednesday that the global semiconductor shortage will last into 2022 and ...",3 weeks ago
289,semiconductor,"Upton, Meijer send letter to House leadership urging action on 
semiconductor shortage",Holland Sentinel,"Semiconductors are used for features like touchscreens, navigation systems 
... ""While the U.S. is a world leader in semiconductor design, ...",1 week ago
290,semiconductor,Semiconductor foundry and geopolitical quandary - Beyond ...,The Ken,"US semiconductors accounted for about US$193 billion in global sales in 
2020—approximately half of the overall chips sold. Read this story. Just ...",2 weeks ago
291,semiconductor,Efficient energy transport in an organic semiconductor ...,Science Advances,"Efficient energy transport is desirable in organic semiconductor (OSC) 
devices. However, photogenerated excitons in OSC films mostly occupy ...",5 days ago
292,semiconductor,Chinese chipmakers prioritize domestic orders as capacity ...,Global Times,"China is the world's largest consumer of semiconductors, but there is a big 
gap between local IC production capacity and semiconductor supply, ...",4 weeks ago
293,semiconductor,‘Industrial Policy’ Is Back: The West Dusts Off Old Idea to Counter China,The Wall Street Journal,"South Korea approved up to $65 billion in support for semiconductors, and 
Japan promised to match other countries' semiconductor aid while ...",1 week ago
294,semiconductor,ON Semiconductor Stock Composite Rating Hits 98,Investor's Business Daily,"ON Semiconductor makes power management, analog, digital signal processing 
(DSP) and other chips for a wide variety of industries. A global ...",6 days ago
295,semiconductor,Semiconductors push Taiwan exports to all-time high in July,Capital.com,"The global glut for semiconductors has pushed Taiwan's exports to an 
all-time high of $37.95bn in July, and will likely continue to be ...",6 mins ago
296,semiconductor,Tower Semiconductor Ltd (TSEM) Q2 2021 Earnings Call Transcript,The Motley Fool,"Thank you and welcome to Tower Semiconductor's financial results conference 
call for the second quarter of 2021. Before we begin, I would like ...",5 days ago
297,semiconductor,How Toyota kept making cars when the chips were down,Fortune,"The unexpected spike in demand wasn't the only factor in the shortage: A 
series of unpredictable disasters also tangled the semiconductor supply ...",1 week ago
298,semiconductor,ON Semiconductor Intelligent Sensing Technologies Enable ...,Business Wire,"ON Semiconductor Intelligent Sensing Technologies Enable 360° Vision in 
AutoX Gen5 Self-Driving Platform. Twenty-eight 2D image sensors and four ...",4 weeks ago
299,semiconductor,Lattice Semiconductor Recognized for “Leading the Next ...,Business Wire,"--(BUSINESS WIRE)--Lattice Semiconductor Corporation (NASDAQ: LSCC), the 
low power programmable leader, today announced that the company was ...",3 weeks ago
300,semiconductor,Watch: Building a Resilient Semiconductor Supply Chain,Supply Chain Brain,"Bharat Kapoor, partner in the Strategic Operations Practice of Kearney, 
talks semiconductor scarcity, and what suppliers and buyers are ...",1 month ago
301,semiconductor,Global chip shortage: When will India have its own semiconductor plant?,Business Standard,"Global chip shortage: When will India have its own semiconductor plant? 
Shivani Shinde | Mumbai | Last Updated at July 12 2021 06:10 IST.",1 month ago
302,semiconductor,Japan seeks new ways to strengthen semiconductor production,NHK.JP,"When the COVID-19 pandemic disrupted semiconductor supply chains and 
triggered shortages worldwide, it laid bare just how much Japan relies 
on ...",4 days ago
303,semiconductor,Semiconductor certificate moves students from lab to fab,ASU Now,"Simultaneously, Taiwan Semiconductor Manufacturing Company has started 
construction on a north Phoenix fab that will create up to 1,900 new 
jobs ...",1 week ago
304,semiconductor,"Car chip shortage to abate, smartphones could be next ...",Reuters,"July 23 (Reuters) - The semiconductor shortage that has gripped the world 
could last well into 2022 and hit smartphone production next, ...",2 weeks ago
305,semiconductor,China’s push for semiconductor self-reliance takes...,The Malaysian Reserve,"CHINA'S strategic move to invest funds to achieve a 70% self-sufficiency 
ratio in semiconductors by 2025 could boost its tech sector growth ...",1 week ago
306,microchip,Happy Returns: The Importance of Microchips,Alexandria Living Magazine,"Now the Animal Welfare League of Alexandria (AWLA) is making it easier than 
ever for pet owners to have their pets microchipped. “We want to ...",26 Mar 2021
307,microchip,Microchip Technology (MCHP) Q4 2021 Earnings Call Transcript,The Motley Fool,"Good day, everyone and welcome to Microchip's fourth-quarter fiscal 2021 
financial results call. As a reminder, today's call is being ...",7 May 2021
308,microchip,Microchip Technology to invest $20m in Cork development centre,Med-Tech Innovation,"Close partnerships with Irish universities will enable the Microchip 
development centre to offer internships and collaborate on key next- ...",24 Feb 2021
309,microchip,Google's AI approach to microchips is welcome — but needs ...,Nature,"China, the United States and some European countries are increasing 
investments in microchip research and development. Amazon, Google, 
Microsoft ...",9 Jun 2021
310,microchip,Microchip Technology Announces Financial Results for Third,GlobeNewswire,"Microchip Technology Announces Financial Results for Third Quarter of 
Fiscal Year 2021 · Net sales of $1.35 billion, up 3.3% sequentially and 
up ...",4 Feb 2021
311,microchip,Cat owners may be forced to microchip pets as UK thefts soar,The Guardian,"Millions of cat owners could be expected to get their cats microchipped or 
face fines under new government plans as the number of felines ...",15 Apr 2021
312,microchip,Microchip Unifies Management of “Terrestrial Time” and “Live ...,Globe Newswire,"Microchip Unifies Management of “Terrestrial Time” and “Live-Sky Time” 
Sources to Enable Resilient Timing for Critical Infrastructure.",1 month ago
313,microchip,Microchip Sales Continue to Grow on Rising Demand: 6 Winners,Yahoo Finance,"On a month-over-month basis, microchip sales grew 1.9% to $41 billion in 
April. Regionally, semiconductor sales increased 25.7% in China on a ...",14 Jun 2021
314,microchip,"Too big, too bold? EU ‘moonshot’ microchip plant faces doubts",POLITICO Europe,"Europe wants to take back control over its microchip supply. But as EU 
Commissioner Thierry Breton cobbles together a multibillion-euro plan ...",28 Apr 2021
315,semiconductor,Behind the deal: Courting Taiwan Semiconductor took years ...,The Business Journals,"Behind the deal: Courting Taiwan Semiconductor took years. Now, it's on a 
strict timeline ... “Who would have ever thought in my career I'd be ...",3 weeks ago
316,semiconductor,Volvo Cars CEO Sees No Improvement in Semiconductor ...,Bloomberg.com,"Volvo Cars CEO Sees No Improvement in Semiconductor Situation. Bloomberg 
Markets · TV Shows. July 23rd, 2021, 12:27 AM PDT.",2 weeks ago
317,semiconductor,Inhibited nonradiative decay at all exciton densities in ...,Science,"Even with the application of strain, the semiconductor remained ... The 
photophysics of these monolayer semiconductors as a function ...",2 weeks ago
318,semiconductor,Tata Motors to redesign vehicles to reduce impact of semiconductor crisis,Hindustan Times Auto News,"Tata Motors to redesign vehicles to reduce impact of semiconductor crisis 
... crisis due to lack of supply of semiconductors in coming days.",2 weeks ago
319,semiconductor,NXP Semiconductors NV (NXPI) Q2 2021 Earnings Call Transcript,The Motley Fool,"Welcome to the NXP Semiconductor's second quarter 2021 earnings call. With 
me on the call today is Kurt Sievers, NXP's President and CEO; ...",6 days ago
320,semiconductor,Staff and semiconductor shortages stifle UK new car output,Autocar,"Staff and semiconductor shortages stifle UK new car output. SMMT figures 
show 69,079 new cars left UK lines in June, down 37% on pre-Covid 2019.",1 week ago
321,semiconductor,"Fabs, Fabless and Indian Semiconductor Industry",Swarajya,"Comparing semiconductor production to a mineral like crude oil is a 
non-starter. No amount of policy or human ingenuity can extract oil from 
a ...",2 weeks ago
322,semiconductor,Strongest Semiconductor Stocks to Buy That Aren’t Nvidia,TheStreet,"It's hard to imagine a more bullish scenario for semiconductor stocks than 
the current global chip shortage. With the COVID-19 pandemic ...",3 weeks ago
323,semiconductor,"Sale of semiconductor factory to Chinese-owned firm presents bigger UK risk 
than Huawei",The Telegraph,"Sale of semiconductor factory to Chinese-owned firm presents bigger UK risk 
than Huawei. Ciaran Martin, the UK's former cybersecurity chief, has ...",2 weeks ago
324,microchip,"If You Invested $1000 in Microchip Technology a Decade Ago, This is How 
Much It'd Be Worth Now",Yahoo Finance,"Chandler, AZ-based Microchip reported total revenues of $5.438 billion in 
fiscal 2021. Beginning from calendar year 2021, the company reports ...",3 days ago
325,microchip,Why China can’t fix the global microchip shortage,The Economic Times,"China's self-sufficiency in semiconductors remains low: It exports about 
$100 billion worth of chips but imports more than $300 billion.",2 Mar 2021
326,microchip,Malaysia launches smart microchip anti-virus air sanitizing ...,BioSpectrum Asia,"EcondLife is a microchip programmed ultrasonic humidifier. It emits a fine 
mist of Ionic Nano Copper (INC16K) disinfectant throughout the space ...",11 Jan 2021
327,microchip,No Quick Relief From Microchip Shortage for Automakers,WardsAuto,"Biden ordered review of supply-chain disruptions leading to microchip 
shortages. Vehicles. No Quick Relief From Microchip Shortage for ...",28 May 2021
328,microchip,"Attacco hacker, anche gli animali soffrono: i microchip sono illeggibili",Corriere Roma,"Attacco hacker, anche gli animali soffrono: i microchip sono illeggibili · 
Vacanze da rimandare per chi vuole portare con sé il proprio animale ...",4 days ago
329,microchip,'Microchip manicure' turns your nails into business cards,CNN,"Dubai (CNN) A beauty salon in Dubai is giving new meaning to the phrase 
""chipped nails."" Lanour Beauty Lounge is offering a tiny microchip ...",1 month ago
330,microchip,IBM says it has created the world's smallest and most powerful microchip,CNN,"... is to make microchips that are smaller, faster, more powerful and more 
energy ... the smallest, most powerful microchip yet developed.",6 May 2021
331,microchip,Microchip Sales Continue to Soar on Higher Demand: 5 Winners,Yahoo Finance,"The semiconductor industry is on a roll, with sales hitting record highs on 
growing demand for microchips. The boom started following the ...",1 month ago
332,microchip,The microchip shortage is one of the unforeseen outcomes of the pandemic,CNET,"Microchips seldom work alone: The most powerful ones are useless without 
more pedestrian support chips that can hobble the manufacturing of a ...",7 Jun 2021
333,microchip,Microchip Technology Recommends Stockholders Reject TRC,GlobeNewswire,"22, 2021 (GLOBE NEWSWIRE) -- (NASDAQ: MCHP) – Microchip Technology 
Incorporated recently learned of an unsolicited “mini-tender offer” made ...",22 Feb 2021
334,semiconductor,Tesla reveals its secret to surviving semiconductor shortages,Teslarati.com,"Tesla has been one company that has demonstrated an incredible response to 
the global semiconductor shortage, a challenge that has plagued ...",2 weeks ago
335,semiconductor,"Carmakers hoarding semiconductors like 'toilet paper' risk prolonging the 
chip shortage",Euronews,"Growing mistrust between carmakers and the semiconductor industry in the 
wake of the global chip shortage is causing a ""mismatch"" between ...",4 weeks ago
336,semiconductor,GM will cut truck production amid semiconductor shortage,Reuters,"N) said Wednesday it will cut some truck production in North America 
because of the ongoing global semiconductor shortage.",3 weeks ago
337,semiconductor,New Research Center Focuses on Semiconductor Security,UT Dallas News Center,"Semiconductor chips — often referred to as simply semiconductors — make it 
possible for electronic devices to process, store and transmit data.",3 weeks ago
338,semiconductor,"Semiconductor shortage will take 1-2 years to stabilize markets, Intel CEO 
says",WRAL TechWire,"The global shortage of semiconductors that has hobbled the auto industry 
and made some consumer electronics more expensive could last until ...",2 weeks ago
339,semiconductor,"Texas reigns in semiconductor, wind power sectors, according ...",The Business Journals,"Samsung has had a chipmaking campus in North Austin for the past 25 years, 
where it has already invested $17 billion. NXP Semiconductors NV also ...",1 week ago
340,semiconductor,"Semiconductor manufacturing important to overall electronics industry: 
Intel India’s Prakash Mallya",ET Telecom,"The Indian government is reportedly planning to give an incentive support 
to the tune of $1 billion per company for semiconductor manufacturing ...",3 weeks ago
341,semiconductor,The semiconductor market could explode to US$1 trillion by 2030,Stockhead,"Basically, semiconductors are the brain of electronics and they are used in 
the fabrication of smartphones, digital cameras, TVs, ...",2 weeks ago
342,semiconductor,"TSMC Exploring On-Chip, Semiconductor-Integrated Watercooling",Tom's Hardware,"TSMC Exploring On-Chip, Semiconductor-Integrated Watercooling ... Future 
chips may feature watercooling integrated into the silicon. ... TSMC, at ...",1 month ago
343,microchip,"Fact check: Medical microchip developed by Columbia University has nothing 
to do with vaccines",USA Today,"The claim: New microchip technology could fit inside a vaccine needle · 
Columbia Engineering recently developed the world's smallest chip · Chip ...",26 May 2021
344,microchip,Fact Check-Pictured microchip is unrelated to COVID-19 vaccine,Reuters,"A photo of a microchip designed by Columbia University engineers is 
circulating in connection with conspiracy theories claiming a chip is ...",28 May 2021
345,microchip,Cats must be microchipped under animal care plan,BBC,"Microchipping pet cats will become compulsory under a wide-ranging new 
animal welfare plan. Environment Secretary George Eustice told the BBC ...",12 May 2021
346,microchip,Microchip's SyncServer® S600 Series Time Server Now ...,Business Wire,"Microchip Technology Inc. (Nasdaq: MCHP) today announced a solution to this 
problem with the integration of its BlueSky technology signal- ...",23 Mar 2021
347,microchip,5 Microchip Stocks to Buy as Supply Shortage Boosts Demand,Yahoo Finance,"The microchip shortage has been hurting carmakers now and they are urging 
the Fed to intervene. Production is being halted and carmakers are ...",11 May 2021
348,microchip,"South Korea announces bigger tax breaks, loans to bolster ...",Automotive News Europe,"microchip.jpg. SEOUL -- South Korea on Thursday announced bigger tax breaks 
plus 1 trillion won ($883 million) in loans for the local chip ...",13 May 2021
349,microchip,"Irmo-Seven Oaks Area Pets Up For Adoption: Meet Ezekiel, Astrid, Greg & More",Patch,"My adoption fee of $150 includes my up-to-date vaccinations, microchip, 
deworming, and I come home..."" Learn more ...",6 days ago
350,microchip,"Fact check: RFID microchips will not be injected with the COVID-19 vaccine, 
altered video features Bill and Melinda Gates and Jack Ma",Reuters,"A video shared over 27,100 times on Facebook implies that the COVID-19 
vaccine will contain a tracking microchip that will be injected in ...",4 Dec 2020
351,microchip,Pentagon scientists reveal microchip implant that can detect Covid-19,South China Morning Post,"Carried in a tissue-like gel, the microchip shows chemical reactions in the 
body – a signal to wearers that they will develop symptoms the ...",16 Apr 2021
352,microchip,Future Employer: Are Humans With Microchips In Their Brains ...,Lexology,"On a basic level, microchips may simply allow implanted individuals easier 
access to physical spaces or the ability to control physical objects ...",19 May 2021
353,semiconductor,NXP Semiconductors Reports Second Quarter 2021 Results,GlobeNewswire,"EINDHOVEN, The Netherlands, Aug. 02, 2021 (GLOBE NEWSWIRE) -- NXP 
Semiconductors N.V. (NASDAQ: NXPI) today reported financial results for ...",1 week ago
354,semiconductor,US preps semiconductor factory plans amid shortage: EXCLUSIVE,Fox Business,"... semiconductor chip factories in the U.S. within 18 months of the date 
that Biden signs the Innovation and Competition Act into law.",2 weeks ago
355,semiconductor,Semiconductor wafer manufacturer planning $300M expansion in Bay County,MLive.com,"SK Siltron CSS manufactures a specialty wafer made of silicon carbide that 
can be used in the semiconductor power components of electric ...",3 weeks ago
356,semiconductor,Intel Drops A Bomb On The Semiconductor Industry,Seeking Alpha,"Investment Thesis. Moore's Law is the bread and butter of the semiconductor 
industry: a final silicon chip can only ever be as good as the ...",2 weeks ago
357,semiconductor,These Bendy Plastic Chips Fit in Unusual Places,WIRED,"Researchers think these flexible semiconductors will be able to monitor 
your heartbeat or tell you whether your milk has spoiled.",3 weeks ago
358,semiconductor,Semiconductor supply company moving to larger space in Chandler,KTAR News,"PHOENIX – A company based in the Netherlands that supplies products and 
support to semiconductor manufacturers is increasing its presence in ...",2 weeks ago
359,semiconductor,Jefferies Stays Extremely Bullish on 4 Red-Hot Semiconductor Stocks,24/7 Wall St.,"Four of the industry's best companies are the top semiconductor picks at 
Jefferies, and aggressive growth investors looking for an alpha upside ...",3 weeks ago
360,semiconductor,Biden Admin Says Semiconductor Chip Supply Should Improve Soon,Ford Authority,"In addition, Raimondo said that both Ford CEO Jim Farley and General Motors 
CEO Mary Barra have told her that the semiconductor chip supply is “ ...",3 weeks ago
361,semiconductor,"State of Texas: Lawmakers seek solutions for semiconductor shortages to 
improve national security",KXAN Austin,"AUSTIN (Nexstar) — America needs to think differently when it comes to 
boosting manufacturing of semiconductor chips, according to one Texas ...",2 weeks ago
362,microchip,"Democrats, GOP team up on bill targeting China as U.S. suffers microchip 
shortage",CNBC,"Democrats, GOP team up on bill targeting China as U.S. suffers microchip 
shortage · Provide $52 billion to support domestic semiconductor ...",25 May 2021
363,microchip,Advance may enable “2D” transistors for tinier microchip ...,MIT News,"Advance may enable “2D” transistors for tinier microchip components. 
Atomically thin materials are a promising alternative to silicon-based ...",13 May 2021
364,microchip,Microchip Technology Announces Changes to Its Board of ...,GlobeNewswire,"CHANDLER, Ariz., March 02, 2021 (GLOBE NEWSWIRE) -- (NASDAQ: MCHP) – 
Microchip Technology Incorporated, a leading provider of smart, ...",2 Mar 2021
365,microchip,Microchip shortage forces automakers to leave out some high ...,Automotive News,"Breadcrumb. Home · Microchips ... The latest numbers on the microchip 
shortage: GM bears the brunt. BLOOMBERG. Reaching out to new suppliers.",6 May 2021
366,microchip,Microchip Shortage: Commerce Secretary to Hold Summit on ...,Bloomberg.com,"Commerce Secretary Gina Raimondo plans a summit with companies impacted by 
the global semiconductor shortage, including the largest chip ...",10 May 2021
367,microchip,"Microchip's RT PolarFire FPGA Now Available, on a Path to ...",HPCwire,"Microchip is qualifying its RT PolarFire RTPF500T FPGAs to Mil Std 883 
Class B, QML Class Q and QML Class V — the highest qualification and ...",3 Dec 2020
368,microchip,"The microchip shortage explained: How it's impacting car prices and the 
tech industry",USA Today,"The microchip shortage explained: How it's impacting car prices and the 
tech industry. Michael Liedtke, Tom Krisher. Associated Press.",2 Apr 2021
369,microchip,Midland dealers on Microchip shortage: “We’re through the worst of it”,Midland Daily News,"And, in the manufacturing of cars across the world, the supply chain was 
impacted by the lack of microchips available. Some early projections ...",1 month ago
370,semiconductor,Welcome to the never-ending chip shortage,CNN,"London (CNN Business) The global shortage of semiconductors that has 
hobbled the auto industry and made some consumer electronics more ...",2 weeks ago
371,semiconductor,Is the world too dependent on Asia’s semiconductor industry?,Tech Wire Asia,"The Asia Pacific is also the world's biggest market for semiconductors, 
accounting for 60% of global semiconductor sales, with China alone ...",26 Mar 2021
372,semiconductor,IBM Chips In To Drive 2 Nanometer Semiconductor Manufacturing,The Next Platform,"First, the company continued to do fundamental research in semiconductor 
technologies at its facilities in New York, usually in conjunction ...",6 May 2021
373,semiconductor,High-End Chipmakers to Fare Far Better During Semiconductor Crisis,The Next Platform,"Syed Alam, semiconductor global lead and managing director of Accenture 
says that there are stark differences between how trailing node ...",9 Feb 2021
374,semiconductor,Everything you need to know about the global semiconductor shortage,South China Morning Post,"Beyond consumer electronics, the tight supply has begun to impact China's 
giant home appliance manufacturing sector. Topic | Semiconductors.",12 May 2021
375,semiconductor,Commentary: There is a global semiconductor famine and it ...,CNA,"Semiconductors, responsible for microchips that power everything from 
computers to cars has been hit with a global shortage thanks to the ...",9 Mar 2021
376,semiconductor,US senators propose 25per cent tax credit for semiconductor ...,CNA,"WASHINGTON: A bipartisan group of U.S. senators on Thursday proposed a 
25per cent tax credit for investments in semiconductor manufacturing ...",1 month ago
377,semiconductor,GLOBALFOUNDRIES Moves Corporate Headquarters to its ...,HPCwire,"Fab 8, above, is the company's most advanced semiconductor manufacturing 
facility. “Today, GF's Fab 8 in New York is a $15 billion advanced ...",26 Apr 2021
378,semiconductor,Semiconductor cycle out of balance after customers stock up,Financial Times,"In an industry as cyclical as semiconductors, there is always either too 
much or too little supply. For the companies that design and use ...",15 Feb 2021
379,microchip,Microchip Technology to Present at the Bank of America 2021,GlobeNewswire,"CHANDLER, Ariz., June 07, 2021 (GLOBE NEWSWIRE) -- Microchip Technology 
Incorporated, a leading provider of smart, connected and secure ...",7 Jun 2021
380,microchip,Stellantis CFO: Microchip shortage impact remains 'controlled',MarketWatch,"Stellantis CFO: Microchip shortage impact remains 'controlled'. Published: 
May 5, 2021 at 5:30 a.m. ET. By. Associated Press. Comments ...",5 May 2021
381,microchip,Korea takes $450 billion aim at microchip supremacy,Asia Times,"Korea takes $450 billion aim at microchip supremacy. Nation plans to spend 
hundreds of billions over next nine years to take the lead in the ...",15 May 2021
382,microchip,SensiML Partners with Microchip Technology for Smart Edge ...,PR Newswire,"""Microchip's microcontrollers are used all over the world in a broad range 
of sensor-based applications,"" said Chris Rogers, CEO at SensiML. "" ...",1 month ago
383,microchip,Microchip shortage: Inside a factory racing to meet demand,BBC,"The global microchip shortage has hit the production of everything from 
mobile phones, to fridges, and cars. The BBC's Katie Silver takes a look 
around the ...",3 May 2021
384,microchip,"PlayStations & iPhones may get expensive, thanks to microchip shortage",The Economic Times,"PlayStations & iPhones may get expensive, thanks to microchip shortage · 
Electronic gadgets and cars will be in shorter supply or more expensive ...",18 Feb 2021
385,microchip,5 Microchip Stocks to Buy As Industry Is On Track for Growth,Yahoo Finance,"Also, sales of electronic goods saw a jump during this period, which 
spurred demand for microchips. Semiconductor Industry on a High. After a ...",1 month ago
386,microchip,The U.S. Car Models Most Impacted By The Microchip Shortage [Infographic],Forbes,"An ongoing shortage of microchips has resulted in hundreds of thousands of 
automobiles being taken out of production across North America.",1 Jun 2021
387,semiconductor,Stocks That Benefit As U.S. Reshores Semiconductor Production,Forbes,"Moreover, demand for semiconductor fabrication equipment is also likely to 
grow, as the U.S. government has been taking steps to protect its ...",1 month ago
388,semiconductor,Will The US Let The Chips Fall On Semiconductor Policy?,Forbes,"There is bipartisan, bicameral support in Congress for the Creating Helpful 
Incentives to Produce Semiconductors for America Act (CHIPS for ...",31 May 2021
389,semiconductor,South Korea to spend $451 billion on becoming a ...,Data Center Dynamics,"“The entire semiconductor industry is facing a watershed moment and now is 
the time to chart out a plan for long-term strategy and investment,” ...",14 May 2021
390,semiconductor,Investment outlook for semiconductors amid rising global chip ...,CNA,"Semiconductor companies may not be as headline-grabbing as their big tech 
counterparts such as Apple, Google and Facebook.",7 Apr 2021
391,semiconductor,The EU must play a long game for semiconductor success,Financial Times,"Sign up to myFT Daily Digest to be the first to know about Semiconductors 
news. The writer is chief executive of Intel. Technology has never ...",28 Apr 2021
392,semiconductor,Why semiconductors are as scarce as gold,ING Think,"A shortage of semiconductors is a continuing and major issue. The squeezed 
market is forcing manufacturers to slow down, ...",8 Apr 2021
393,semiconductor,New Chinese chip firms have tripled in 2021 amid self-sufficiency push,South China Morning Post,"As China pursues self-sufficiency in semiconductors, Washington is seeking 
to counter Beijing with a new bill funding domestic fabrication.",9 Jun 2021
394,semiconductor,How the world ran out of semiconductors,The Conversation,"There's a global shortage in semiconductors, and it's becoming increasingly 
serious. The US is currently reviewing its supply of the ...",5 Mar 2021
395,semiconductor,Semiconductor factory in Milan is an answer to microchip crisis,Innovation Origins,"This week the cleanroom, the central part of STMicroelectronics' new 
semiconductor manufacturing plant in Agrate near Milan, Italy, was 
unveiled ...",1 month ago
396,semiconductor,Japan puts all chips on the table to lure semiconductor makers,Nikkei Asia,"TOKYO -- Japan will pull out every policy stop to court overseas 
semiconductor companies, including offering generous financial 
incentives, ...",3 Jun 2021
397,microchip,"Google researchers show artificial intelligence can design microchips 
better and faster than humans",ABC News,"This could potentially save thousands of hours of human effort for each 
generation of microchips. MORE: Global microchip shortage impacting ...",13 Jun 2021
398,microchip,Supply Shortage Boosting Microchip Demand: 4 Stocks to Buy,Yahoo Finance,"The global microchip shortage has been now hurting a number of industries, 
with electronic goods, including PCs and smartphones and ...",15 Apr 2021
399,microchip,Intel: $3.5B investment is critical to microchip future,ABC News,"Intel: $3.5B investment is critical to microchip future. Intel will be 
investing $3.5 billion in its New Mexico plant to manufacture what ...",3 May 2021
400,microchip,Explainer: Why is there a global chip shortage and why should you care?,Reuters,"... the brunt of an unprecedented shortage in semiconductor microchips. ... 
of nearly all microchips, increasing prices of final products.",31 Mar 2021
401,microchip,Low-cost vaccination/microchip clinic Saturday | News ...,Athens Daily Review,"This clinic will also offer microchipping to cats or dogs for $25. A tiny 
chip is inserted into the scruff of the pet, which can be read by a ...",6 Apr 2021
402,microchip,"Covid-19 has caused a global microchip shortage – and it won’t end anytime 
soon",Scroll.in,"Covid-19 has caused a global microchip shortage – and it won't end anytime 
soon. Semiconductors are an essential component of electronic devices ...",3 Jun 2021
403,microchip,Where did the covid microchip vaccine conspiracy theory come from?,The Verge,"But after the fourth time Charlamagne repeated his wild claim that the 
government is putting microchips in the COVID-19 vaccine, I couldn't 
help ...",5 Jun 2021
